x,y,AP-id
14674,15038,103583
14826,14861,103559
14072,14672,101519
15353,14936,101516
13719,14598,103581
13906,15004,103580
15171,14599,101517
14002,14327,118706
13960,15463,31347
13951,14558,84181
13471,15501,82984
13852,15176,82395
15130,14704,80598
14720,15408,80738
14181,15271,81540
15360,14458,80990
14117,14677,82241
14011,14393,80705
14014,15280,82399
14435,14566,82394
13777,15374,80722
15013,15448,81990
15010,15012,82370
15474,14844,82366
13793,14606,81374
14945,14426,82595
15085,14458,103544
15358,15310,103561
13772,15478,103582
14033,14543,103398
15019,15360,103618
13551,14306,103579
14109,15420,103621
15016,15112,109692
13624,14955,129207
13483,15041,135484
14224,14596,133999
14918,14482,118707
15483,14784,122496
14164,14703,118708
14396,15026,101562
14319,15299,101224
14517,14639,100068
15241,15323,100014
13939,14379,103001
13609,15582,100056
15283,14477,81985
13758,14594,135486
15425,14405,126741
14924,14447,82211
14399,14443,100559
14603,15504,82398
14819,14471,118710
14573,15449,103349
14286,14423,13599
14543,15302,100025
15201,14606,103800
15498,14428,100011
13566,14551,102325
13916,14585,103307
15136,14919,101556
14169,14898,134302
13810,14774,101382
15060,15234,100337
13725,15220,102309
15287,14901,106401
13546,15162,135974
14301,15281,101377
14066,15323,100024
13556,14500,103118
15143,14740,200549
14743,14987,102074
15378,14789,100175
15304,14482,133863
13692,14505,137552
14624,15104,100774
14985,14579,100020
13953,14407,100001
14167,14955,135970
15219,15029,100159
13600,14829,102344
13821,14732,201344
13873,14644,82180
14572,14629,100332
13983,15129,101532
14172,14560,137548
15147,15005,100157
15247,15039,100344
14267,14672,200544
13856,15026,100500
15340,14455,100021
14237,15390,13672
13893,14499,204735
14922,14411,134296
15261,15383,202874
14978,14455,81968
13604,14570,101703
15311,14731,101699
14687,15431,101655
13966,14578,157194
13633,15024,150798
14658,15028,101711
15352,14565,100708
14360,15411,106406
14909,14515,106403
15383,15398,202667
14151,15010,202886
15302,15294,29356
13641,14997,133733
