server-id,penetration-rate
0,0.682813819
1,0.591812036
2,0.734386221
3,0.714187092
4,0.539484154
5,0.630221381
6,0.583141065
7,0.552885986
8,0.532828853
9,0.656914775
10,0.641190301
11,0.543415099
12,0.599472614
13,0.529675174
14,0.580768166
15,0.573860763
16,0.774795615
17,0.641530816
18,0.646111297
19,0.56519917
20,0.628424275
21,0.733505786
22,0.833492256
23,0.529666716
24,0.51572019
25,0.636416839
26,0.813169571
27,0.625291768
28,0.77874039
29,0.673289058
30,0.686060185
31,0.65781359
32,0.725877965
33,0.547482643
34,0.69471552
35,0.581159354
36,0.656237361
37,0.727928325
38,0.808134567
39,0.577800665
40,0.661466938
41,0.516821014
42,0.658105602
43,0.611910721
44,0.650387521
45,0.680544026
46,0.70693026
47,0.702887247
48,0.715709933
49,0.644734898
50,0.53420078
51,0.607111442
52,0.624127159
53,0.554741586
54,0.585382958
55,0.606199908
56,0.639324537
57,0.563345769
58,0.576882153
59,0.541510493
60,0.65378059
61,0.620324592
62,0.673295909
63,0.733948554
64,0.631504523
65,0.668084853
66,0.777571985
67,0.538620226
68,0.577103329
69,0.656107929
70,0.743804074
71,0.584406966
72,0.703262218
73,0.550246507
74,0.556559582
75,0.622855969
76,0.613039771
77,0.609125843
78,0.602408101
79,0.580078424
80,0.578025038
81,0.559635033
82,0.576972978
83,0.670574775
84,0.74968277
85,0.818907079
86,0.561005905
87,0.679635961
88,0.638215032
89,0.717770175
90,0.664018771
91,0.667617634
92,0.759196924
93,0.697388202
94,0.800029151
95,0.540448567
96,0.657046436
97,0.59684156
98,0.556710669
99,0.792358928
100,0.570820472
101,0.585512678
102,0.719206779
103,0.718356196
104,0.648234522
105,0.698232648
106,0.520845303
107,0.628209357
108,0.695381004
109,0.60038656
110,0.606103716
111,0.631282613
112,0.654387762
113,0.85
